id,org:resource,concept:name,time:timestamp,org:role,case:Rfp_id,case:Permit travel permit number,case:Task,case:OrganizationalEntity,case:RequestedAmount,case:Activity,case:Permit TaskNumber,case:Permit BudgetNumber,case:Permit ProjectNumber,case:Project,case:concept:name,case:Permit OrganizationalEntity,case:Permit RequestedBudget,case:Cost Type,case:Permit id,case:Permit ActivityNumber,case:RfpNumber
st_step 46824_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-09 14:37:00+00:00,ADMINISTRATION,request for payment 46821,travel permit number 46820,UNKNOWN,organizational unit 65468,906.4064118262385,UNKNOWN,UNKNOWN,budget 16481,UNKNOWN,project 503,request for payment 46821,organizational unit 65466,828.9825681931086,0,travel permit 46819,UNKNOWN,request for payment number 46822
st_step 46825_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-09 16:29:01+00:00,SUPERVISOR,request for payment 46821,travel permit number 46820,UNKNOWN,organizational unit 65468,906.4064118262385,UNKNOWN,UNKNOWN,budget 16481,UNKNOWN,project 503,request for payment 46821,organizational unit 65466,828.9825681931086,0,travel permit 46819,UNKNOWN,request for payment number 46822
st_step 46826_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-04-23 16:53:21+00:00,EMPLOYEE,request for payment 46821,travel permit number 46820,UNKNOWN,organizational unit 65468,906.4064118262385,UNKNOWN,UNKNOWN,budget 16481,UNKNOWN,project 503,request for payment 46821,organizational unit 65466,828.9825681931086,0,travel permit 46819,UNKNOWN,request for payment number 46822
st_step 46828_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-04-23 16:53:56+00:00,ADMINISTRATION,request for payment 46821,travel permit number 46820,UNKNOWN,organizational unit 65468,906.4064118262385,UNKNOWN,UNKNOWN,budget 16481,UNKNOWN,project 503,request for payment 46821,organizational unit 65466,828.9825681931086,0,travel permit 46819,UNKNOWN,request for payment number 46822
st_step 46827_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-04-24 11:56:14+00:00,SUPERVISOR,request for payment 46821,travel permit number 46820,UNKNOWN,organizational unit 65468,906.4064118262385,UNKNOWN,UNKNOWN,budget 16481,UNKNOWN,project 503,request for payment 46821,organizational unit 65466,828.9825681931086,0,travel permit 46819,UNKNOWN,request for payment number 46822
rp_request for payment 46821_15,SYSTEM,Request Payment,2018-06-12 13:30:32+00:00,UNDEFINED,request for payment 46821,travel permit number 46820,UNKNOWN,organizational unit 65468,906.4064118262385,UNKNOWN,UNKNOWN,budget 16481,UNKNOWN,project 503,request for payment 46821,organizational unit 65466,828.9825681931086,0,travel permit 46819,UNKNOWN,request for payment number 46822
rp_request for payment 46821_16,SYSTEM,Payment Handled,2018-06-14 17:31:33+00:00,UNDEFINED,request for payment 46821,travel permit number 46820,UNKNOWN,organizational unit 65468,906.4064118262385,UNKNOWN,UNKNOWN,budget 16481,UNKNOWN,project 503,request for payment 46821,organizational unit 65466,828.9825681931086,0,travel permit 46819,UNKNOWN,request for payment number 46822
st_step 53839_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-09 20:03:33+00:00,EMPLOYEE,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
st_step 53838_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-09 20:03:36+00:00,ADMINISTRATION,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
st_step 53840_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-10 15:58:46+00:00,SUPERVISOR,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
st_step 53848_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-06-06 22:56:15+00:00,EMPLOYEE,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
st_step 53849_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-06-06 22:56:19+00:00,ADMINISTRATION,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
st_step 53847_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-06-12 12:24:13+00:00,SUPERVISOR,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
rp_request for payment 53834_15,SYSTEM,Request Payment,2018-06-21 08:19:07+00:00,UNDEFINED,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
rp_request for payment 53834_16,SYSTEM,Payment Handled,2018-06-25 17:31:30+00:00,UNDEFINED,request for payment 53834,travel permit number 53831,UNKNOWN,organizational unit 65458,133.1786454684912,UNKNOWN,UNKNOWN,budget 698,UNKNOWN,project 503,request for payment 53834,organizational unit 65458,332.94661367122796,0,travel permit 53830,UNKNOWN,request for payment number 53835
st_step 46850_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-09 21:08:10+00:00,EMPLOYEE,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
st_step 46851_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-09 21:08:13+00:00,ADMINISTRATION,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
st_step 46849_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-11 15:16:57+00:00,SUPERVISOR,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
st_step 46860_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-05-07 15:44:17+00:00,EMPLOYEE,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
st_step 46859_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-05-07 15:44:53+00:00,ADMINISTRATION,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
st_step 46858_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-05-14 13:38:17+00:00,SUPERVISOR,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
rp_request for payment 46845_15,SYSTEM,Request Payment,2018-05-23 09:21:50+00:00,UNDEFINED,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
rp_request for payment 46845_16,SYSTEM,Payment Handled,2018-05-24 17:31:08+00:00,UNDEFINED,request for payment 46845,travel permit number 46842,task 6489,organizational unit 65454,268.36217218133413,activity 505,task 427,budget 1469,project 6486,project 503,request for payment 46845,organizational unit 65460,2459.986578328896,0,travel permit 46841,UNKNOWN,request for payment number 46846
st_step 41345_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-10 15:03:15+00:00,EMPLOYEE,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
st_step 41343_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-10 15:03:26+00:00,ADMINISTRATION,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
st_step 41344_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-11 15:17:11+00:00,SUPERVISOR,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
st_step 41352_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-04-13 15:30:18+00:00,EMPLOYEE,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
st_step 41353_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-04-13 15:30:40+00:00,ADMINISTRATION,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
st_step 41354_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-04-16 13:40:51+00:00,SUPERVISOR,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
rp_request for payment 41339_15,SYSTEM,Request Payment,2018-04-17 08:36:19+00:00,UNDEFINED,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
rp_request for payment 41339_16,SYSTEM,Payment Handled,2018-04-19 17:31:32+00:00,UNDEFINED,request for payment 41339,travel permit number 41335,task 41338,organizational unit 65454,1468.5566160054825,activity 505,task 427,budget 1114,project 1115,project 503,request for payment 41339,organizational unit 65460,4836.965981353831,0,travel permit 41334,UNKNOWN,request for payment number 41340
st_step 54745_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-10 18:39:28+00:00,EMPLOYEE,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
st_step 54744_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-10 18:39:34+00:00,ADMINISTRATION,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
st_step 54746_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-12 09:47:07+00:00,SUPERVISOR,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
st_step 54760_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-07-19 14:06:14+00:00,EMPLOYEE,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
st_step 54759_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-07-19 14:06:16+00:00,ADMINISTRATION,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
st_step 54761_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-07-19 16:06:20+00:00,SUPERVISOR,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
rp_request for payment 54740_15,SYSTEM,Request Payment,2018-07-20 11:52:49+00:00,UNDEFINED,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
rp_request for payment 54740_16,SYSTEM,Payment Handled,2018-07-23 17:31:11+00:00,UNDEFINED,request for payment 54740,travel permit number 54736,task 1498,organizational unit 65461,330.4059022980853,activity 505,task 427,budget 829,project 1495,project 503,request for payment 54740,organizational unit 65456,1221.668882446702,0,travel permit 54735,UNKNOWN,request for payment number 54741
st_step 24641_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-11 10:33:09+00:00,EMPLOYEE,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
st_step 24640_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-11 10:33:17+00:00,ADMINISTRATION,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
st_step 24639_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-25 10:48:19+00:00,SUPERVISOR,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
st_step 24645_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-05-15 10:56:04+00:00,EMPLOYEE,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
st_step 24647_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-05-15 10:56:13+00:00,ADMINISTRATION,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
st_step 24646_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-05-15 11:06:34+00:00,SUPERVISOR,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
rp_request for payment 24635_15,SYSTEM,Request Payment,2018-05-16 10:53:13+00:00,UNDEFINED,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
rp_request for payment 24635_16,SYSTEM,Payment Handled,2018-05-17 17:31:35+00:00,UNDEFINED,request for payment 24635,travel permit number 24629,task 24634,organizational unit 65475,1135.3527143043316,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24635,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24636
st_step 24641_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-11 10:33:09+00:00,EMPLOYEE,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
st_step 24640_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-11 10:33:17+00:00,ADMINISTRATION,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
st_step 24639_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-25 10:48:19+00:00,SUPERVISOR,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
st_step 24642_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-05-15 11:20:26+00:00,EMPLOYEE,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
st_step 24643_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-05-15 11:20:36+00:00,ADMINISTRATION,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
st_step 24644_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-05-15 11:26:19+00:00,SUPERVISOR,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
rp_request for payment 24632_15,SYSTEM,Request Payment,2018-05-16 10:54:32+00:00,UNDEFINED,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
rp_request for payment 24632_16,SYSTEM,Payment Handled,2018-05-17 17:31:35+00:00,UNDEFINED,request for payment 24632,travel permit number 24629,task 24634,organizational unit 65475,742.9788665514411,activity 505,task 427,budget 24630,project 24631,project 503,request for payment 24632,organizational unit 65459,2658.016388003452,0,travel permit 24628,UNKNOWN,request for payment number 24633
st_step 46953_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-11 14:54:21+00:00,EMPLOYEE,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
st_step 46952_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-11 14:54:52+00:00,ADMINISTRATION,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
st_step 46954_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-12 09:48:03+00:00,SUPERVISOR,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
st_step 46955_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-04-20 15:28:19+00:00,EMPLOYEE,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
st_step 46956_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-04-20 15:28:31+00:00,ADMINISTRATION,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
st_step 46957_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-04-23 16:41:32+00:00,SUPERVISOR,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
rp_request for payment 46946_15,SYSTEM,Request Payment,2018-05-15 12:49:30+00:00,UNDEFINED,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
rp_request for payment 46946_16,SYSTEM,Payment Handled,2018-05-17 17:31:35+00:00,UNDEFINED,request for payment 46946,travel permit number 46945,task 16095,organizational unit 65461,315.10830259228015,activity 505,task 427,budget 522,project 16082,project 503,request for payment 46946,organizational unit 65456,2615.0066605168477,0,travel permit 46944,UNKNOWN,request for payment number 46947
st_step 33303_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-11 15:00:00+00:00,EMPLOYEE,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
st_step 33301_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-11 18:06:42+00:00,ADMINISTRATION,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
st_step 33302_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-12 10:08:00+00:00,SUPERVISOR,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
st_step 33306_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-04-27 16:36:35+00:00,EMPLOYEE,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
st_step 33304_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-04-27 16:36:52+00:00,ADMINISTRATION,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
st_step 33305_0,STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,2018-04-30 11:35:13+00:00,SUPERVISOR,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
rp_request for payment 33299_15,SYSTEM,Request Payment,2018-04-30 20:01:49+00:00,UNDEFINED,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
rp_request for payment 33299_16,SYSTEM,Payment Handled,2018-05-03 17:31:17+00:00,UNDEFINED,request for payment 33299,travel permit number 33298,task 1100,organizational unit 65461,408.9096609449582,activity 505,task 427,budget 456,project 1097,project 503,request for payment 33299,organizational unit 65456,971.1604447442757,0,travel permit 33297,UNKNOWN,request for payment number 33300
st_step 21595_0,STAFF MEMBER,Permit SUBMITTED by EMPLOYEE,2018-04-11 17:19:16+00:00,EMPLOYEE,request for payment 21590,travel permit number 21586,task 21588,organizational unit 65454,280.9450409422428,activity 505,task 427,budget 2414,project 9331,project 503,request for payment 21590,organizational unit 65460,587.0493392822985,0,travel permit 21585,UNKNOWN,request for payment number 21591
st_step 21596_0,STAFF MEMBER,Permit APPROVED by ADMINISTRATION,2018-04-11 17:19:33+00:00,ADMINISTRATION,request for payment 21590,travel permit number 21586,task 21588,organizational unit 65454,280.9450409422428,activity 505,task 427,budget 2414,project 9331,project 503,request for payment 21590,organizational unit 65460,587.0493392822985,0,travel permit 21585,UNKNOWN,request for payment number 21591
st_step 21594_0,STAFF MEMBER,Permit FINAL_APPROVED by SUPERVISOR,2018-04-12 07:54:17+00:00,SUPERVISOR,request for payment 21590,travel permit number 21586,task 21588,organizational unit 65454,280.9450409422428,activity 505,task 427,budget 2414,project 9331,project 503,request for payment 21590,organizational unit 65460,587.0493392822985,0,travel permit 21585,UNKNOWN,request for payment number 21591
st_step 21604_0,STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,2018-05-30 17:03:28+00:00,EMPLOYEE,request for payment 21590,travel permit number 21586,task 21588,organizational unit 65454,280.9450409422428,activity 505,task 427,budget 2414,project 9331,project 503,request for payment 21590,organizational unit 65460,587.0493392822985,0,travel permit 21585,UNKNOWN,request for payment number 21591
st_step 21605_0,STAFF MEMBER,Request For Payment APPROVED by ADMINISTRATION,2018-05-30 17:04:56+00:00,ADMINISTRATION,request for payment 21590,travel permit number 21586,task 21588,organizational unit 65454,280.9450409422428,activity 505,task 427,budget 2414,project 9331,project 503,request for payment 21590,organizational unit 65460,587.0493392822985,0,travel permit 21585,UNKNOWN,request for payment number 21591
